menu_key,name,room_type,meal,grade,adults,children,nights,list_price,benefit_price,coupon_code,coupon_price,member_url
H-TENSEI,スタンダード（2食付）,洋室,2食付き,standard,2,0,1,26000,15600,H-TENSEI-1,15100,https://example.com/member/h-tensei
H-TENSEI,デラックス（2食付）,和洋室,2食付き,deluxe,2,0,1,38000,28500,H-TENSEI-2,28000,https://example.com/member/h-tensei
H-TENSEI,素泊まり,洋室,なし,standard,2,0,1,18000,10800,H-TENSEI-3,10300,https://example.com/member/h-tensei
H-KOWAKIEN,スタンダード（2食付）,洋室,2食付き,standard,2,0,1,18000,9900,H-KOWAKIEN-1,9400,https://example.com/member/h-kowakien
H-KOWAKIEN,デラックス（2食付）,和洋室,2食付き,deluxe,2,0,1,30000,21000,H-KOWAKIEN-2,20500,https://example.com/member/h-kowakien
H-KOWAKIEN,素泊まり,洋室,なし,standard,2,0,1,10000,6000,H-KOWAKIEN-3,5500,https://example.com/member/h-kowakien
H-HANAORI,スタンダード（2食付）,洋室,2食付き,standard,2,0,1,36000,21600,H-HANAORI-1,21100,https://example.com/member/h-hanaori
H-HANAORI,デラックス（2食付）,和洋室,2食付き,deluxe,2,0,1,48000,28800,H-HANAORI-2,28300,https://example.com/member/h-hanaori
H-HANAORI,素泊まり,洋室,なし,standard,2,0,1,28000,16800,H-HANAORI-3,16300,https://example.com/member/h-hanaori
H-NEWFUJIYA,スタンダード（2食付）,洋室,2食付き,standard,2,0,1,30000,21000,H-NEWFUJIYA-1,20500,https://example.com/member/h-newfujiya
H-NEWFUJIYA,デラックス（2食付）,和洋室,2食付き,deluxe,2,0,1,42000,25200,H-NEWFUJIYA-2,24700,https://example.com/member/h-newfujiya
H-NEWFUJIYA,素泊まり,洋室,なし,standard,2,0,1,22000,15400,H-NEWFUJIYA-3,14900,https://example.com/member/h-newfujiya
H-KORAKUEN,スタンダード（2食付）,洋室,2食付き,standard,2,0,1,18000,12600,H-KORAKUEN-1,12100,https://example.com/member/h-korakuen
H-KORAKUEN,デラックス（2食付）,和洋室,2食付き,deluxe,2,0,1,30000,18000,H-KORAKUEN-2,17500,https://example.com/member/h-korakuen
H-KORAKUEN,素泊まり,洋室,なし,standard,2,0,1,10000,6000,H-KORAKUEN-3,5500,https://example.com/member/h-korakuen
H-KPRINCE,スタンダード（2食付）,洋室,2食付き,standard,2,0,1,22000,12100,H-KPRINCE-1,11600,https://example.com/member/h-kprince
H-KPRINCE,デラックス（2食付）,和洋室,2食付き,deluxe,2,0,1,34000,25500,H-KPRINCE-2,25000,https://example.com/member/h-kprince
H-KPRINCE,素泊まり,洋室,なし,standard,2,0,1,14000,8400,H-KPRINCE-3,7900,https://example.com/member/h-kprince
H-BLESTON,スタンダード（2食付）,洋室,2食付き,standard,2,0,1,22000,12100,H-BLESTON-1,11600,https://example.com/member/h-bleston
H-BLESTON,デラックス（2食付）,和洋室,2食付き,deluxe,2,0,1,34000,22100,H-BLESTON-2,21600,https://example.com/member/h-bleston
H-BLESTON,素泊まり,洋室,なし,standard,2,0,1,14000,11200,H-BLESTON-3,10700,https://example.com/member/h-bleston
H-KTOWER,スタンダード（2食付）,洋室,2食付き,standard,2,0,1,30000,18000,H-KTOWER-1,17500,https://example.com/member/h-ktower
H-KTOWER,デラックス（2食付）,和洋室,2食付き,deluxe,2,0,1,42000,25200,H-KTOWER-2,24700,https://example.com/member/h-ktower
H-KTOWER,素泊まり,洋室,なし,standard,2,0,1,22000,17600,H-KTOWER-3,17100,https://example.com/member/h-ktower
H-GRANVIA,スタンダード（2食付）,洋室,2食付き,standard,2,0,1,36000,21600,H-GRANVIA-1,21100,https://example.com/member/h-granvia
H-GRANVIA,デラックス（2食付）,和洋室,2食付き,deluxe,2,0,1,48000,28800,H-GRANVIA-2,28300,https://example.com/member/h-granvia
H-GRANVIA,素泊まり,洋室,なし,standard,2,0,1,28000,19600,H-GRANVIA-3,19100,https://example.com/member/h-granvia
H-MANZA,スタンダード（2食付）,洋室,2食付き,standard,2,0,1,26000,14300,H-MANZA-1,13800,https://example.com/member/h-manza
H-MANZA,デラックス（2食付）,和洋室,2食付き,deluxe,2,0,1,38000,22800,H-MANZA-2,22300,https://example.com/member/h-manza
H-MANZA,素泊まり,洋室,なし,standard,2,0,1,18000,10800,H-MANZA-3,10300,https://example.com/member/h-manza
H-RENAISSANCE,スタンダード（2食付）,洋室,2食付き,standard,2,0,1,36000,21600,H-RENAISSANCE-1,21100,https://example.com/member/h-renaissance
H-RENAISSANCE,デラックス（2食付）,和洋室,2食付き,deluxe,2,0,1,48000,36000,H-RENAISSANCE-2,35500,https://example.com/member/h-renaissance
H-RENAISSANCE,素泊まり,洋室,なし,standard,2,0,1,28000,25200,H-RENAISSANCE-3,24700,https://example.com/member/h-renaissance
H-ALIVILA,スタンダード（2食付）,洋室,2食付き,standard,2,0,1,26000,18200,H-ALIVILA-1,17700,https://example.com/member/h-alivila
