key,area_code,name,category,address,description,usage_limit,family_scope,cancel_policy,hotel_ref,content_updated_at
H-TENSEI,hakone,箱根湯本温泉 天成園,stay,神奈川県足柄下郡箱根町湯本682,庭園露天風呂と天然温泉。箱根湯本駅から徒歩12分,年2回まで,本人と2親等まで,3日前まで無料,H-TENSEI,2026-09-01
H-KOWAKIEN,hakone,箱根ホテル小涌園,stay,神奈川県足柄下郡箱根町二ノ平1297,箱根小涌園ユネッサンに隣接。家族向け,年2回まで,本人と2親等まで,3日前まで無料,H-KOWAKIEN,2026-09-02
H-HANAORI,hakone,箱根 芦ノ湖 はなをり,stay,神奈川県足柄下郡箱根町元箱根桃源台160,芦ノ湖を望む足湯テラスと大浴場,年2回まで,本人と2親等まで,7日前まで無料,H-HANAORI,2026-09-03
H-NEWFUJIYA,atami,熱海 ニューフジヤホテル,stay,静岡県熱海市銀座町1-16,熱海駅から徒歩約12分。大浴場と展望風呂,年2回まで,本人と2親等まで,3日前まで無料,H-NEWFUJIYA,2026-09-04
H-KORAKUEN,atami,熱海後楽園ホテル,stay,静岡県熱海市和田浜南町10-1,相模湾を望むオーシャンビューの温泉リゾート,年2回まで,本人と2親等まで,7日前まで無料,H-KORAKUEN,2026-09-05
H-KPRINCE,karuizawa,軽井沢プリンスホテル ウエスト,stay,長野県北佐久郡軽井沢町軽井沢,軽井沢駅南口。ショッピングプラザに隣接,年1回まで,本人と2親等まで,7日前まで無料,H-KPRINCE,2026-09-06
H-BLESTON,karuizawa,ホテルブレストンコート,stay,長野県北佐久郡軽井沢町星野,星野エリアの森の中のホテル,年1回まで,本人と配偶者,14日前まで無料,H-BLESTON,2026-09-07
H-KTOWER,kyoto,京都タワーホテル,stay,京都府京都市下京区烏丸通七条下ル東塩小路町721-1,京都駅烏丸口すぐ,年2回まで,本人と2親等まで,3日前まで無料,H-KTOWER,2026-09-08
H-GRANVIA,kyoto,ホテルグランヴィア京都,stay,京都府京都市下京区烏丸通塩小路下る,京都駅ビル内。改札から直結,年2回まで,本人と2親等まで,3日前まで無料,H-GRANVIA,2026-09-09
H-MANZA,okinawa,ANAインターコンチネンタル万座ビーチリゾート,stay,沖縄県国頭郡恩納村瀬良垣2260,万座ビーチに面したリゾート,年1回まで,本人と2親等まで,14日前まで無料,H-MANZA,2026-09-10
H-RENAISSANCE,okinawa,ルネッサンス リゾート オキナワ,stay,沖縄県国頭郡恩納村山田3425-2,マリンアクティビティが充実,年1回まで,本人と2親等まで,14日前まで無料,H-RENAISSANCE,2026-09-01
H-ALIVILA,okinawa,ホテル日航アリビラ,stay,沖縄県中頭郡読谷村儀間600,読谷村のビーチリゾート,年1回まで,本人と2親等まで,14日前まで無料,H-ALIVILA,2026-09-02
L-YUNESSUN,hakone,箱根小涌園ユネッサン,leisure,神奈川県足柄下郡箱根町二ノ平1297,水着で入る温泉テーマパーク,年3回まで,本人と2親等まで,当日可,,2026-09-03
L-HAKONEEN,hakone,箱根園水族館,leisure,神奈川県足柄下郡箱根町元箱根139,芦ノ湖畔の水族館,年3回まで,本人と2親等まで,当日可,,2026-09-04
L-ATAMIJO,atami,熱海城,leisure,静岡県熱海市熱海1993,熱海市街と相模湾を一望,年3回まで,本人と2親等まで,当日可,,2026-09-05
L-KYOTOAQ,kyoto,京都水族館,leisure,京都府京都市下京区観喜寺町35-1,梅小路公園内の水族館,年3回まで,本人と2親等まで,当日可,,2026-09-06
L-CHURAUMI,okinawa,沖縄美ら海水族館,leisure,沖縄県国頭郡本部町石川424,海洋博公園内の水族館,年3回まで,本人と2親等まで,当日可,,2026-09-07
M-YAMAGUSURI,hakone,箱根 自然薯の森 山薬,meal,神奈川県足柄下郡箱根町宮ノ下224,自然薯料理の店,制限なし,本人と同行者,当日可,,2026-09-08
M-MAGUROYA,atami,熱海 まぐろや,meal,静岡県熱海市田原本町7-2,駅前のまぐろ料理店,制限なし,本人と同行者,当日可,,2026-09-09
M-TOKUYA,kyoto,京都 ぎをん徳屋,meal,京都府京都市東山区祇園町南側570-127,わらび餅の甘味処,制限なし,本人と同行者,当日可,,2026-09-10
